Code_commune_INSEE;Nom_commune;Code_postal;Ligne_5;Libellé_d_acheminement;coordonnees_gps
02286;ESQUEHERIES;02170;;ESQUEHERIES;49.982096918, 3.753298573
02290;ESSOMES SUR MARNE;02400;;ESSOMES SUR MARNE;49.034382198, 3.340031766
02299;EVERGNICOURT;02190;;EVERGNICOURT;49.455922988, 4.036018471
02304;LA FERE;02800;;LA FERE;49.667255819, 3.36930591
02307;LA FERTE MILON;02460;;LA FERTE MILON;49.176033589, 3.142644717
02308;FESMY LE SART;02450;LE SART;FESMY LE SART;50.048136391, 3.697870692
02310;FIEULAINE;02110;;FIEULAINE;49.901919227, 3.446448275
02317;FLUQUIERES;02590;;FLUQUIERES;49.79998831, 3.156044367
02323;FONTAINE UTERTE;02110;;FONTAINE UTERTE;49.925100018, 3.367762239
02335;FRESSANCOURT;02800;;FRESSANCOURT;49.628047947, 3.426986314
02337;FROIDESTREES;02260;;FROIDESTREES;49.942613598, 3.910453621
02339;GANDELU;02810;;GANDELU;49.083044315, 3.181414017
02340;GAUCHY;02430;;GAUCHY;49.823265723, 3.286136508
02342;GERGNY;02260;;GERGNY;49.931502629, 3.929198252
02353;GRANDLUP ET FAY;02350;;GRANDLUP ET FAY;49.650993508, 3.736731258
02355;GRICOURT;02100;;GRICOURT;49.887187116, 3.239360764
02358;GROUGIS;02110;;GROUGIS;49.951097233, 3.530642542
02361;GUISE;02120;;GUISE;49.895664233, 3.624725161
02362;GUIVRY;02300;;GUIVRY;49.65133013, 3.120512948
02364;GUYENCOURT;02160;;GUYENCOURT;49.357312607, 3.840901247
02370;HARGICOURT;02420;;HARGICOURT;49.966650448, 3.19015454
02376;HAUTEVILLE;02120;;HAUTEVILLE;49.888857291, 3.523895751
02381;HIRSON;02500;;HIRSON;49.942804665, 4.104797218
02389;JAULGONNE;02850;;JAULGONNE;49.089323674, 3.532106607
02390;JEANCOURT;02490;;JEANCOURT;49.928629216, 3.14704793
02403;LANDIFAY ET BERTAIGNEMONT;02120;;LANDIFAY ET BERTAIGNEMONT;49.825811537, 3.604339981
02418;LERZY;02260;;LERZY;49.949627733, 3.881302419
02419;LESCHELLE;02170;;LESCHELLE;49.960381135, 3.776678255
02425;LEUZE;02500;;LEUZE;49.857879532, 4.169626267
02438;LONGPONT;02600;;LONGPONT;49.284210949, 3.219848561
02439;LES SEPTVALLONS;02160;MERVAL;LES SEPTVALLONS;49.355509724, 3.653403263
02446;LY FONTAINE;02440;;LY FONTAINE;49.732230817, 3.311206247
02451;MAGNY LA FOSSE;02420;;MAGNY LA FOSSE;49.936255727, 3.276193296
02454;LA MALMAISON;02190;;LA MALMAISON;49.517078646, 4.000413236
02456;MANICAMP;02300;;MANICAMP;49.564951136, 3.179497783
02461;MAREST DAMPCOURT;02300;;MAREST DAMPCOURT;49.594384228, 3.147053499
02470;MARTIGNY;02500;;MARTIGNY;49.866323929, 4.13399276
02472;MAUREGNY EN HAYE;02820;;MAUREGNY EN HAYE;49.540827364, 3.797761356
02473;MAYOT;02800;;MAYOT;49.709478847, 3.398205923
02474;MENNESSIS;02700;;MENNESSIS;49.691944029, 3.274874462
02483;MEZIERES SUR OISE;02240;;MEZIERES SUR OISE;49.791684676, 3.38750678
02486;MISSY LES PIERREPONT;02350;;MISSY LES PIERREPONT;49.628537529, 3.784506763
02491;MONCEAU LE NEUF ET FAUCOUZY;02270;;MONCEAU LE NEUF ET FAUCOUZY;49.784245669, 3.630887394
02496;MONNES;02470;;MONNES;49.145972296, 3.228814357
02497;MONS EN LAONNOIS;02000;;MONS EN LAONNOIS;49.538236336, 3.554174044
02499;MONTBAVIN;02000;;MONTBAVIN;49.529542724, 3.512615089
02511;MONTIGNY EN ARROUAISE;02110;;MONTIGNY EN ARROUAISE;49.912004001, 3.483380112
02518;MONTLEVON;02330;;MONTLEVON;48.962881745, 3.5153661
02525;MORCOURT;02100;;MORCOURT;49.875885119, 3.33376442
02527;MORSAIN;02290;;MORSAIN;49.461530468, 3.190773035
02530;MOULINS;02160;;MOULINS;49.42040219, 3.679437925
02531;MOUSSY VERNEUIL;02160;;MOUSSY VERNEUIL;49.41243455, 3.636578979
02535;NAMPCELLES LA COUR;02140;;NAMPCELLES LA COUR;49.776677946, 4.001545141
02539;NAUROY;02420;;NAUROY;49.95109226, 3.259127291
02545;LA NEUVILLE BOSMONT;02250;;LA NEUVILLE BOSMONT;49.714499279, 3.833211434
02547;LA NEUVILLE HOUSSET;02250;;LA NEUVILLE HOUSSET;49.788415895, 3.731426487
02548;LA NEUVILLE LES DORENGT;02450;;LA NEUVILLE LES DORENGT;49.983119397, 3.686519947
02555;NOGENT L ARTAUD;02310;;NOGENT L ARTAUD;48.942896009, 3.333207104
02559;NOUVION ET CATILLON;02270;;NOUVION ET CATILLON;49.707297768, 3.493588723
02563;NOYALES;02120;;NOYALES;49.907819967, 3.538918361
02565;OEUILLY;02160;;OEUILLY;49.393123668, 3.68229876
02568;OIGNY EN VALOIS;02600;;OIGNY EN VALOIS;49.213499679, 3.13020509
02593;PASLY;02200;;PASLY;49.402312425, 3.298046924
02601;PIGNICOURT;02190;;PIGNICOURT;49.409153218, 4.029840002
02606;LE PLESSIER HULEU;02210;;LE PLESSIER HULEU;49.238650103, 3.347902504
02609;PLOYART ET VAURSEINE;02860;;PLOYART ET VAURSEINE;49.493365705, 3.740057022
02612;PONT ARCY;02160;;PONT ARCY;49.391738152, 3.62056826
02618;PREMONT;02110;;PREMONT;50.014126795, 3.397619103
02625;PROIX;02120;;PROIX;49.902585502, 3.575082615
02650;ROCQUIGNY;02260;;ROCQUIGNY;50.019466415, 3.973481896
02651;ROGECOURT;02800;;ROGECOURT;49.649175807, 3.415853693
02655;RONCHERES;02130;;RONCHERES;49.139269034, 3.602156577
02657;ROUGERIES;02140;;ROUGERIES;49.806228231, 3.786510203
02666;ROZOY SUR SERRE;02360;;ROZOY SUR SERRE;49.706454675, 4.13129966
02668;SAINS RICHAUMONT;02120;;SAINS RICHAUMONT;49.827771342, 3.705370966
02675;STE CROIX;02820;;STE CROIX;49.480032612, 3.7804123
02677;ST EUGENE;02330;;ST EUGENE;49.015202481, 3.517143876
02689;ST PIERREMONT;02250;;ST PIERREMONT;49.714510583, 3.87557835
02697;SAMOUSSY;02840;;SAMOUSSY;49.587146838, 3.743494795
02699;SAPONAY;02130;;SAPONAY;49.21442714, 3.4850284
02703;SEBONCOURT;02110;;SEBONCOURT;49.962854219, 3.494426719
02707;SEPTVAUX;02410;;SEPTVAUX;49.570032067, 3.387069592
02708;SEQUEHART;02420;;SEQUEHART;49.931696208, 3.340597116
02714;SERMOISE;02220;;SERMOISE;49.372485337, 3.446719738
02719;SINCENY;02300;;SINCENY;49.591121145, 3.268134127
02723;SOIZE;02340;;SOIZE;49.698054155, 4.085948902
02728;SORBAIS;02580;;SORBAIS;49.913540259, 3.882648796
02734;TAILLEFONTAINE;02600;;TAILLEFONTAINE;49.310206352, 3.050049317
02738;TERGNIER;02700;QUESSY;TERGNIER;49.656818136, 3.299606912
02740;THENAILLES;02140;;THENAILLES;49.815403552, 3.952079017
02743;LE THUEL;02340;;LE THUEL;49.641361034, 4.089478253
02747;TREFCON;02490;;TREFCON;49.859989704, 3.088384828
02757;VADENCOURT;02120;LONGCHAMPS;VADENCOURT;49.922961175, 3.574497712
02761;VARISCOURT;02190;;VARISCOURT;49.414922584, 3.980935502
02772;VAUX EN VERMANDOIS;02590;;VAUX EN VERMANDOIS;49.82318443, 3.13627001
02777;VENDIERES;02540;;VENDIERES;48.873310182, 3.442753662
02779;VENEROLLES;02510;;VENEROLLES;49.990195929, 3.630844924
02786;VERNEUIL SOUS COUCY;02380;;VERNEUIL SOUS COUCY;49.545409999, 3.319185087
02788;VERSIGNY;02800;;VERSIGNY;49.657827829, 3.44286286
02791;VESLUD;02840;;VESLUD;49.538681235, 3.730443735
02794;VEZILLY;02130;;VEZILLY;49.186949109, 3.68297941
02814;VILLERS LES GUISE;02120;;VILLERS LES GUISE;49.925063029, 3.681964652
02820;VIRY NOUREUIL;02300;;VIRY NOUREUIL;49.63933095, 3.24798073
02826;VOULPAIX;02140;;VOULPAIX;49.838727415, 3.832469429
03002;AGONGES;03210;;AGONGES;46.618364598, 3.148778876
03005;ARCHIGNAT;03380;;ARCHIGNAT;46.367116193, 2.409580218
03013;AVERMES;03000;;AVERMES;46.598737396, 3.318798217
03014;AVRILLY;03130;;AVRILLY;46.332375536, 3.966737993
03019;BEAULON;03230;;BEAULON;46.587402632, 3.669109032
03026;BESSON;03210;;BESSON;46.480747323, 3.25480062
03031;BIZENEUILLE;03170;;BIZENEUILLE;46.401726014, 2.730349428
03041;LE BRETHON;03350;;LE BRETHON;46.584211872, 2.715102742
03046;BUXIERES LES MINES;03440;;BUXIERES LES MINES;46.47008478, 2.955107172
03054;CHAPEAU;03340;;CHAPEAU;46.492309037, 3.515416106
03061;CHARMES;03800;;CHARMES;46.082628309, 3.246438788
03078;CHOUVIGNY;03450;;CHOUVIGNY;46.125939823, 3.004744399
03079;CINDRE;03220;;CINDRE;46.322871786, 3.551382705
03082;COMMENTRY;03600;;COMMENTRY;46.27902791, 2.749569571
03084;COSNE D ALLIER;03430;;COSNE D ALLIER;46.483211151, 2.822882372
03091;CRECHY;03150;;CRECHY;46.269421755, 3.423422807
03097;DENEUILLE LES MINES;03170;;DENEUILLE LES MINES;46.378251002, 2.775269123
03098;DESERTINES;03630;;DESERTINES;46.357051977, 2.627451501
03112;ETROUSSAT;03140;;ETROUSSAT;46.220232812, 3.221244754
03117;FRANCHESSE;03160;;FRANCHESSE;46.64346669, 3.03628672
03119;GANNAY SUR LOIRE;03230;;GANNAY SUR LOIRE;46.718144903, 3.596525633
03124;GOUISE;03340;;GOUISE;46.410852974, 3.438327977
