Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000002|11/01/2021|Vente|82000,00|335||RTE|0550|DES SOURCES|1560|SAINT-JEAN-SUR-REYSSOUZE|01|364||A|721||||||||||||0|1|Maison||87|3|S||2760
|||||||000001|15/01/2021|Vente|139150,00|137||CHE|0080|DES JEANGRANDS|1190|ARBIGNY|01|16||AB|95||||||||||||0|1|Maison||103|5|S||1455
|||||||000001|15/01/2021|Vente|139150,00||||B005|BAS DU BIEF|1190|ARBIGNY|01|16||AB|166||||||||||||0||||||P||258
|||||||000001|15/01/2021|Vente|139150,00||||B005|BAS DU BIEF|1190|ARBIGNY|01|16||AB|169||||||||||||0||||||P||234
|||||||000001|14/01/2021|Vente|196800,00|15||ALL|0064|DU RALE DES GENETS|1290|CORMORANCHE-SUR-SAONE|01|123||C|1069||||||||||||0|1|Maison||95|4|S||435
|||||||000001|15/01/2021|Vente|193000,00|19||LOT|A001|DU CLOS DES ACACIAS|1340|SAINT-DIDIER-D AUSSIAT|01|346||AI|328||||||||||||0|1|Maison||88|4|S||744
|||||||000001|15/01/2021|Vente|193000,00||||B121|LE GOTTEX|1340|SAINT-DIDIER-D AUSSIAT|01|346||AI|337||||||||||||0||||||AB||122
|||||||000001|26/01/2021|Vente|219580,00||||B104|A LA CRAS|1370|VAL-REVERMONT|01|426||A|1259||||||||||||0||||||T||200
|||||||000001|26/01/2021|Vente|219580,00||||B104|A LA CRAS|1370|VAL-REVERMONT|01|426||A|1263||||||||||||0||||||T||775
|||||||000001|26/01/2021|Vente|219580,00||||B104|A LA CRAS|1370|VAL-REVERMONT|01|426||A|1266||||||||||||0||||||T||217
|||||||000001|26/01/2021|Vente|219580,00||||B286|LE VILLAGE - TREFFORT|1370|VAL-REVERMONT|01|426||F|84||||||||||||0||||||S||54
|||||||000001|26/01/2021|Vente|219580,00|10||RUE|0090|FERRACHAT|1370|VAL-REVERMONT|01|426||F|107||||||||||||0|1|Maison||66|2|S||90
|||||||000001|26/01/2021|Vente|219580,00||||B286|LE VILLAGE - TREFFORT|1370|VAL-REVERMONT|01|426||F|136||||||||||||0||||||J||48
|||||||000001|22/01/2021|Vente|203800,00|681||RTE|0095|DES COMBES|1290|LAIZ|01|203||C|995||||||||||||0|1|Maison||104|5|AB||701
|||||||000001|22/01/2021|Vente|203800,00|681||RTE|0095|DES COMBES|1290|LAIZ|01|203||C|997||||||||||||0||||||S||85
|||||||000001|08/01/2021|Vente|176000,00|4||RUE|3210|PREVOTE|1000|BOURG-EN-BRESSE|01|53||AD|196||7||||||||||1|2|Appartement||130|5|||
|||||||000001|14/01/2021|Vente|1160,80||||B132|PRES DES BAISSES|1290|CROTTET|01|134||ZC|37||||||||||||0||||||P||5804
|||||||000001|18/01/2021|Vente en l'état futur d'achèvement|342000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||15||||||||||1|2|Appartement||110|5|||
|||||||000001|18/01/2021|Vente en l'état futur d'achèvement|342000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||22||||||||||1|3|Dépendance||0|0|||
|||||||000001|15/01/2021|Vente|51000,00||||B102|LA JACONNIERE|1270|COLIGNY|01|108||ZB|244||||||||||||0||||||AB||1361
|||||||000001|15/01/2021|Vente|313550,00|310||CHE|0412|DES ROCHETTES|1160|SAINT-MARTIN-DU-MONT|01|374||ZH|159||||||||||||0|1|Maison||154|6|AG||1585
|||||||000001|15/01/2021|Vente|313550,00|310||CHE|0412|DES ROCHETTES|1160|SAINT-MARTIN-DU-MONT|01|374||ZH|159||||||||||||0|1|Maison||154|6|S||1585
|||||||000001|07/01/2021|Vente|145000,00|5063|||B042|CORCELLES|1250|NIVIGNE ET SURAN|01|95||AC|66||||||||||||0|1|Maison||65|2|S||168
|||||||000001|07/01/2021|Vente|145000,00||||B042|CORCELLES|1250|NIVIGNE ET SURAN|01|95||AC|67||||||||||||0||||||S||38
|||||||000001|07/01/2021|Vente|145000,00|11||RUE|0075|DU CRETET|1250|NIVIGNE ET SURAN|01|95||AC|68||||||||||||0|1|Maison||140|3|S||220
|||||||000002|15/01/2021|Vente|1,00|321||RUE|0331|DES PEUPLIERS|1960|PERONNAS|01|289||AH|302||||||||||||0||||||S||373
|||||||000001|18/01/2021|Vente|158648,00|14||RUE|0077|DU 19 MARS 1962|1340|MONTREVEL-EN-BRESSE|01|266||AB|154||49||||||||||1|3|Dépendance||0|0|||
|||||||000001|18/01/2021|Vente|158648,00|14||RUE|0077|DU 19 MARS 1962|1340|MONTREVEL-EN-BRESSE|01|266||AB|154||13||||||||||1|2|Appartement||68|3|||
|||||||000001|14/01/2021|Vente|57000,00|5||RUE|3560|DU STAND|1000|BOURG-EN-BRESSE|01|53||AZ|378||127||||||||||1|3|Dépendance||0|0|||
|||||||000001|14/01/2021|Vente|57000,00|5||RUE|3560|DU STAND|1000|BOURG-EN-BRESSE|01|53||AZ|378||27||||||||||1|2|Appartement||33|1|||
|||||||000001|14/01/2021|Vente|91520,00||||B030|SAINT REMY|1310|SAINT-REMY|01|385||A|1369||||||||||||0||||||AB||714
|||||||000001|19/01/2021|Vente en l'état futur d'achèvement|240000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||29||||||||||1|3|Dépendance||0|0|||
|||||||000001|19/01/2021|Vente en l'état futur d'achèvement|240000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||9||||||||||1|2|Appartement||91|4|||
|||||||000001|20/01/2021|Vente en l'état futur d'achèvement|265000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||24||||||||||1|3|Dépendance||0|0|||
|||||||000001|20/01/2021|Vente en l'état futur d'achèvement|265000,00||||B025|LE VILLAGE|1000|SAINT-DENIS-LES-BOURG|01|344||AO|286||5||||||||||1|2|Appartement||103|5|||
|||||||000001|19/01/2021|Vente|165000,00|6||IMP|1420|DE L EST|1000|BOURG-EN-BRESSE|01|53||AX|134||||||||||||0|1|Maison||74|4|S||659
|||||||000001|19/01/2021|Vente|292150,00|190||CHEM|0330|DE MAS GRUZIN|1250|TOSSIAT|01|422||B|841||||||||||||0|1|Maison||80|3|S||1283
