Code service sages|Reference document|1 Articles CGI|2 Articles CGI|3 Articles CGI|4 Articles CGI|5 Articles CGI|No disposition|Date mutation|Nature mutation|Valeur fonciere|No voie|B/T/Q|Type de voie|Code voie|Voie|Code postal|Commune|Code departement|Code commune|Prefixe de section|Section|No plan|No Volume|1er lot|Surface Carrez du 1er lot|2eme lot|Surface Carrez du 2eme lot|3eme lot|Surface Carrez du 3eme lot|4eme lot|Surface Carrez du 4eme lot|5eme lot|Surface Carrez du 5eme lot|Nombre de lots|Code type local|Type local|Identifiant local|Surface reelle bati|Nombre pieces principales|Nature culture|Nature culture speciale|Surface terrain
|||||||000001|03/01/2022|Vente en l'état futur d'achèvement|575000,00|443||AV|0475|DE LA GRANDE CHAMPAGNE|1220|DIVONNE-LES-BAINS|01|143||AO|418||6||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2022|Vente en l'état futur d'achèvement|575000,00|443||AV|0475|DE LA GRANDE CHAMPAGNE|1220|DIVONNE-LES-BAINS|01|143||AO|418||18||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2022|Vente en l'état futur d'achèvement|575000,00|443||AV|0475|DE LA GRANDE CHAMPAGNE|1220|DIVONNE-LES-BAINS|01|143||AO|418||20||27|72,40|||||||2|2|Appartement||71|3|||
|||||||000001|04/01/2022|Vente|80000,00||||B176|EN PAILLETANT|1500|AMBERIEU-EN-BUGEY|01|4||BC|344||||||||||||0||||||VI||138
|||||||000001|04/01/2022|Vente|80000,00||||B176|EN PAILLETANT|1500|AMBERIEU-EN-BUGEY|01|4||BC|351||||||||||||0||||||VI||510
|||||||000001|04/01/2022|Vente|80000,00||||B176|EN PAILLETANT|1500|AMBERIEU-EN-BUGEY|01|4||BC|353||||||||||||0||||||VI||166
|||||||000001|04/01/2022|Vente|80000,00||||B275|VAREILLES MARAIS|1500|AMBERIEU-EN-BUGEY|01|4||BH|11||||||||||||0||||||VI||154
|||||||000001|04/01/2022|Vente|80000,00|43||RUE|0090|ANTOINE VITTET|1500|AMBERIEU-EN-BUGEY|01|4||BH|57||||||||||||0|1|Maison||45|3|S||163
|||||||000001|04/01/2022|Vente|80000,00|43||RUE|0090|ANTOINE VITTET|1500|AMBERIEU-EN-BUGEY|01|4||BH|57||||||||||||0|3|Dépendance||0|0|S||163
|||||||000001|04/01/2022|Vente|80000,00||||B275|VAREILLES MARAIS|1500|AMBERIEU-EN-BUGEY|01|4||BH|563||||||||||||0||||||S||16
|||||||000001|05/01/2022|Vente|156000,00|7||RUE|0031|DU CORNIER|1150|VAUX-EN-BUGEY|01|431||A|1613||||||||||||0|1|Maison||85|4|S||310
|||||||000001|07/01/2022|Vente|35000,00||||B030|LACRAS|1470|SERRIERES-DE-BRIORD|01|403||B|2690||||||||||||0||||||AB||140
|||||||000001|07/01/2022|Vente|35000,00||||B030|LACRAS|1470|SERRIERES-DE-BRIORD|01|403||B|2691||||||||||||0||||||AB||39
|||||||000001|07/01/2022|Vente|35000,00||||B030|LACRAS|1470|SERRIERES-DE-BRIORD|01|403||B|2696||||||||||||0||||||AB||1185
|||||||000001|03/01/2022|Vente|144500,00||||B013|AUX CHANEES|1480|FRANS|01|166||ZB|549||||||||||||0||||||AB||473
|||||||000001|03/01/2022|Vente|85000,00|16||AV|0025|DU JURA|1210|FERNEY-VOLTAIRE|01|160||AM|517||10||437|33,45|||||||2|2|Appartement||34|1|||
|||||||000001|03/01/2022|Vente|85000,00|16||AV|0025|DU JURA|1210|FERNEY-VOLTAIRE|01|160||AM|517||10||437|33,45|||||||2|3|Dépendance||0|0|||
|||||||000001|03/01/2022|Vente|85000,00|16||AV|0025|DU JURA|1210|FERNEY-VOLTAIRE|01|160||AM|517||242||||||||||1|3|Dépendance||0|0|||
|||||||000001|03/01/2022|Vente|85000,00|16||AV|0025|DU JURA|1210|FERNEY-VOLTAIRE|01|160||AM|517||438||||||||||1|2|Appartement||3|0|||
|||||||000001|07/01/2022|Vente|238935,00|890||RUE|0251|DE LA COMBE DE L'EAU|1220|DIVONNE-LES-BAINS|01|143||B|831||16|45,66|5||||||||2|2|Appartement||48|2|||
|||||||000001|07/01/2022|Vente|238935,00|890||RUE|0251|DE LA COMBE DE L'EAU|1220|DIVONNE-LES-BAINS|01|143||B|831||16|45,66|5||||||||2|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|238935,00|890||RUE|0251|DE LA COMBE DE L'EAU|1220|DIVONNE-LES-BAINS|01|143||B|831||16|45,66|5||||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2022|Vente en l'état futur d'achèvement|267000,00||||B037|LE MARAIS|1630|ST-GENIS-POUILLY|01|354||AY|220||24|44,85|||||||||1||||||||
|||||||000001|05/01/2022|Vente en l'état futur d'achèvement|267000,00||||B037|LE MARAIS|1630|ST-GENIS-POUILLY|01|354||AY|220||54|13,32|||||||||1||||||||
|||||||000001|06/01/2022|Vente|260000,00|7||RUE|3125|DES PINS|1000|BOURG-EN-BRESSE|01|53||CS|218||||||||||||0|1|Maison||99|5|S||765
|||||||000001|06/01/2022|Vente|9500,00|6||RUE|0810|CHARLES PEGUY|1000|BOURG-EN-BRESSE|01|53||BM|89||4||||||||||1|3|Dépendance||0|0|||
|||||||000001|04/01/2022|Vente|14000,00|10|B|ALL|3044|DE LA PETITE REYSSOUZE|1000|BOURG-EN-BRESSE|01|53||BD|227||111||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|105000,00|5896|||B007|LA CHARPINE|1000|SAINT-DENIS-LES-BOURG|01|344||AI|60||||||||||||0|1|Maison||108|4|S||695
|||||||000001|07/01/2022|Vente|105000,00|5896|||B007|LA CHARPINE|1000|SAINT-DENIS-LES-BOURG|01|344||AI|60||||||||||||0|1|Maison||108|4|AG||660
|||||||000001|05/01/2022|Vente|56000,00||||B102|LA JACONNIERE|1270|COLIGNY|01|108||ZB|244||||||||||||0||||||AB||1361
|||||||000001|04/01/2022|Vente|145000,00|5||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|01|53||AL|40||30|59,46|||||||||1|2|Appartement||60|2|||
|||||||000001|04/01/2022|Vente|145000,00|5||RUE|0690|DES CERISIERS|1000|BOURG-EN-BRESSE|01|53||AL|40||16||||||||||1|3|Dépendance||0|0|||
|||||||000001|05/01/2022|Vente|76500,00|6||AV|0770|DU CHAMP DE FOIRE|1000|BOURG-EN-BRESSE|01|53||BK|197||212|31,78|50||||||||2|3|Dépendance||0|0|||
|||||||000001|05/01/2022|Vente|76500,00|6||AV|0770|DU CHAMP DE FOIRE|1000|BOURG-EN-BRESSE|01|53||BK|197||212|31,78|50||||||||2|2|Appartement||32|1|||
|||||||000001|07/01/2022|Vente|215000,00|22||BD|2540|MAL LECLERC|1000|BOURG-EN-BRESSE|01|53||AE|111||12||56|94,11|||||||2|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|215000,00|22||BD|2540|MAL LECLERC|1000|BOURG-EN-BRESSE|01|53||AE|111||12||56|94,11|||||||2|2|Appartement||95|3|||
|||||||000001|07/01/2022|Vente|215000,00|22||BD|2540|MAL LECLERC|1000|BOURG-EN-BRESSE|01|53||AE|111||39||||||||||1|3|Dépendance||0|0|||
|||||||000001|07/01/2022|Vente|190000,00|7||CHE|0262|DE BROTONNE|1370|MEILLONNAS|01|241||ZE|46||||||||||||0|1|Maison||82|3|S||600
|||||||000002|05/01/2022|Vente|1,00||||B299|RIX|1680|LHUIS|01|216||H|639||||||||||||0||||||P||6
|||||||000001|11/01/2022|Vente|209000,00|145|A|RTE|0085|DU BOURG|1380|BAGE-DOMMARTIN|01|25||F|2175||||||||||||0|1|Maison||180|5|S||849
|||||||000001|11/01/2022|Vente|209000,00||||B004|BAGE LA VILLE|1380|BAGE-DOMMARTIN|01|25||F|2176||||||||||||0||||||S||34
